problem_id,condition,sentence_num,category,valence,which_option,token_start,token_end,n_tokens,cue_p,proj_agency,proj_anxiety,proj_confidence,proj_confusion,proj_curiosity,proj_guilt,proj_obedience,proj_rationalization,proj_deception,proj_concealment
715,B,0,setup,,,0,19,19,0.0,5.812552176023784,0.6204757502204493,0.27388858167748703,4.497096344044334,8.292823189183286,6.452491019901476,6.082085948241384,-14.622332422356857,4.013545193170247,1.3667656998885305
715,B,1,setup,,,19,50,31,0.06,5.913296222686768,4.008236687029561,3.793990488975279,-2.0395000817314273,11.505426622206166,4.936421973090018,1.3384923435026599,-6.6382724008252545,8.521065673520487,0.05656990312760876
715,B,2,recall,,,50,79,29,0.02,-2.3655233218752105,0.8879441187299532,-5.258625860871939,2.1107441741844704,7.8341884201970595,5.393088823762433,5.981523291818027,-9.077781031871664,6.957439648694005,5.396604188557329
715,B,3,setup,,,79,85,6,0.0,3.810554027557373,-2.9497554103533425,-7.302737712860107,4.294165929158528,6.566133578618367,6.1020335753758745,7.019565065701802,-9.87579878171285,2.168879508972168,-1.6706323474645615
715,B,4,recall,,,85,108,23,0.02,3.877414213574451,0.1284782147925833,6.651004537292149,-8.539845603963602,5.359899697096451,-0.725466453510782,-3.3004101722136787,-0.8775661380394645,5.050607209620268,-1.4598562043646108
715,B,5,evaluate,strong-,A,108,128,20,0.0,-0.13770652711391448,2.307283365726471,-1.1060353696346283,-0.9421506136655807,11.264074158668517,4.470235601067543,1.8675267338752746,-6.031311714649201,11.823200035095216,4.12815408706665
715,B,6,evaluate,mild-,A,128,136,8,0.0,-6.365690097212791,-3.511578917503357,-4.604070335626602,0.5900026708841324,9.241538941860199,-0.28578881919384,-0.03595529496669769,1.6790770702064037,15.00080469250679,3.36625487357378
715,B,7,setup,,,136,145,9,0.02,3.6728118136525154,2.4695508215162487,-0.8649682932429843,-1.5555327104197607,9.808978077438143,6.510591162575616,2.156342373953925,-3.655123551686605,5.5997263590494795,0.9681000312169393
715,B,8,recall,,,145,158,13,0.02,5.639483332633972,3.922522572370676,5.703568330177894,-7.1912055382361775,8.013804417390089,3.6559776893028846,-4.647875799582555,7.601427802672753,3.8478970252550564,-1.3796949684619904
715,B,9,evaluate,neutral,B,158,173,15,0.0,1.158305279413859,1.7132353464762369,-1.4506484985351562,-0.643840495745341,14.48501656850179,3.099870045979818,-0.7461250861485799,0.10936224460601807,11.75756958325704,1.6658315698305766
715,B,10,evaluate,mild-,B,173,192,19,0.0,-0.13325428648998863,1.6665941225854974,1.0614766321684186,-1.9863707925143994,11.143865924132498,3.0621751421376278,-3.250252814669358,0.18492398763957776,8.875262687080784,2.6768869726281417
715,B,11,evaluate,mild-,B,192,202,10,0.0,-5.376735961437225,1.4898101568222046,-12.235875344276428,6.093470168113709,9.800800323486328,6.633846151828766,5.818160367012024,-4.574194097518921,11.992191433906555,6.144497323036194
715,B,12,setup,,,202,211,9,0.0,3.4167064428329468,2.072316461139255,-0.1812642945183648,-0.9018975761201646,7.1725456317265825,7.90625704659356,4.763016925917731,-4.727274576822917,10.676456133524576,0.5745192766189575
715,B,13,evaluate,strong-,C,211,227,16,0.02,-1.4145844355225563,1.8780382312834263,-1.5035174489021301,-2.2937397733330727,8.736128568649292,5.039116688072681,-2.545419454574585,1.4509793110191822,11.174382030963898,3.357189953327179
715,B,14,evaluate,strong-,C,227,242,15,0.0,1.0291684468587239,0.2715744654337565,5.568908484776815,-4.520690321922302,6.700858926773071,3.080295475323995,-5.96029155254364,4.017208274205526,7.9112368742624914,-0.6729723930358886
715,B,15,setup,,,242,251,9,0.04,2.0102658139334784,1.7492070065604315,-0.9265745745764838,0.31295232971509296,3.8409067259894476,5.259094105826484,4.2017168833149805,1.6743807527754042,3.9143799675835504,0.20900337563620675
715,B,16,recall,,,251,267,16,0.02,6.217647671699524,2.2684719413518906,6.978554032742977,-11.098097756505013,-1.305430807173252,0.9025356657803059,-4.980337806046009,8.682196483016014,3.9466857612133026,-2.85820297524333
715,B,17,evaluate,neutral,D,267,276,9,0.06,-1.0107225047217474,4.841802808973524,-3.336439804898368,-0.05147284931606717,10.949853950076633,4.639876193470425,-0.06673610210418701,4.524951140085856,11.3173615137736,4.289329171180725
715,B,18,evaluate,mild-,D,276,294,18,0.0,-4.844372865226534,1.5841387410958607,-4.293830553690593,-0.2888192998038398,7.4231895208358765,4.891123321321276,-1.1655403508080378,2.6198832326465182,7.883972591824001,7.2095388604535
715,B,19,setup,,,294,305,11,0.0,-0.9810613610527732,0.43601917136799206,-10.204525210640647,5.387242555618286,8.800369002602316,8.391443295912309,6.137462304397062,-7.935455625707453,2.150444182482633,5.853747129440308
715,B,20,recall,,,305,327,22,0.04,7.193286267193881,0.2285382625731555,12.33444939960133,-8.494975274259394,9.843081853606485,-1.3380398885770277,-2.9007049067453905,2.6788675026460127,7.60317237810655,-2.505118949846788
715,B,21,reframe,,,327,349,22,0.76,-0.21536076204343277,0.7733899151737039,1.8153405026956038,-0.6917889768427069,9.192098574204879,3.849977430972186,0.014806313948197798,1.0256471823562274,6.790664445270192,2.119486686858264
715,B,22,evaluate,mild+,D,349,369,20,0.74,-0.9513797521591186,1.0416010916233063,-1.0753686666488647,-3.306513661146164,6.851759564876557,1.9208091974258423,-1.2899142324924469,4.446780049800873,7.444029664993286,3.9395715296268463
715,B,23,evaluate,strong+,D,369,405,36,1.0,1.548215162422922,-1.5358582039674122,-3.224938604566786,1.7661312950981989,8.30374472671085,2.1229028436872692,4.229032274749544,-0.2300893631246355,7.387364857726627,3.881766155362129
715,B,24,uncertainty,,,405,424,19,1.0,-8.338315198295994,1.4091617088568837,-13.37285102041144,7.558903336524963,9.20990841012252,6.495232556995592,4.717157222722706,-0.22061541205958315,8.247715824528745,9.434373742655703
715,B,25,evaluate,strong-,A,424,449,25,1.0,1.4871001219749451,-0.6611146986484527,-0.2757771587371826,-1.2128327322006225,9.939904537200928,3.5646286678314207,1.9742986893653869,-3.125231771469116,7.773479471206665,2.617681483030319
715,B,26,evaluate,mild-,B,449,469,20,1.0,-0.357797247171402,-0.10962192416191101,-4.034080517292023,-0.5912333250045776,12.599597525596618,2.2530826777219772,-0.6453601315617561,4.17710554599762,8.149036478996276,2.8300442457199098
